"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"VLS5045EX330M";1;"22uH";;;
2;"D3,D2,D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
3;"R3,R2";"R_0805_2012Metric";2;"4K7";;;
4;"U2";"PQFN50P450X300X100-16N";1;"BMI088";;;
5;"PS1";"CONV_PXO7805-500-M-TR";1;"PXO7805-500-M-TR";;;
6;"C2,C4,C8,C3,C1";"C_0805_2012Metric";5;"100n";;;
7;"C5";"C_0805_2012Metric";1;"10u";;;
8;"J1";"testpoint_01x06";1;"Conn_01x06_Male";;;
9;"J3,J4";"Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical";2;"Conn_01x04";;;
10;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SP485";;;
11;"H1,H2,H3";"MountingHole_2.7mm_M2.5_ISO14580_Pad";3;"MountingHole_Pad";;;
12;"U1";"ESP32-WROOM-32U";1;"ESP32-WROOM-32U";;;
13;"U3";"SN74LV1T34DBVR";1;"SN74LV1T34DBVR";;;
14;"R1";"R_0805_2012Metric";1;"10K";;;
15;"C10,C11";"C_1206_3216Metric";2;"4.7u";;;
16;"U5";"SOT-223-3_TabPin2";1;"AP2114HA-3.3TRG1";;;
17;"C7,C9";"C_1206_3216Metric";2;"22u/16v";;;
18;"C6";"C_1206_3216Metric";1;"10u/50V";;;
19;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
20;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
